superkingdom_id	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9604: 'Hominidae'}	{9605: 'Homo'}	{9606: 'Homo sapiens'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{10088: 'Mus'}	{10090: 'Mus musculus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{10114: 'Rattus'}	{10116: 'Rattus norvegicus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9895: 'Bovidae'}	{9903: 'Bos'}	{9913: 'Bos taurus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{8292: 'Amphibia'}	{8342: 'Anura'}	{8352: 'Pipidae'}	{8353: 'Xenopus'}	{8364: 'Xenopus tropicalis'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9821: 'Suidae'}	{9822: 'Sus'}	{9823: 'Sus scrofa'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9604: 'Hominidae'}	{9596: 'Pan'}	{9598: 'Pan troglodytes'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9608: 'Canidae'}	{9611: 'Canis'}	{9612: 'Canis lupus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7952: 'Cypriniformes'}	{2743709: 'Danionidae'}	{7954: 'Danio'}	{7955: 'Danio rerio'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{9539: 'Macaca'}	{9544: 'Macaca mulatta'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{31022: 'Tetraodontiformes'}	{31031: 'Tetraodontidae'}	{31032: 'Takifugu'}	{31033: 'Takifugu rubripes'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9975: 'Lagomorpha'}	{9979: 'Leporidae'}	{9984: 'Oryctolagus'}	{9986: 'Oryctolagus cuniculus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{38605: 'Didelphimorphia'}	{9265: 'Didelphidae'}	{13615: 'Monodelphis'}	{13616: 'Monodelphis domestica'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9787: 'Perissodactyla'}	{9788: 'Equidae'}	{9789: 'Equus'}	{9796: 'Equus caballus'}
